,year-month,SNo,Confirmed,Deaths,Recovered,Active
0,2020/01,131841,38980.0,905.0,897.0,0.037178000000000000
1,2020/02,4063015,1671960.0,46898.0,380837.0,1.207047
2,2020/03,54552524,8896092.0,386607.0,2707333.0,4.557927000000000
3,2020/04,152188150,63155257.0,4200500.0,16422184.0,36.730421
4,2020/05,332228790,144857836.0,9605979.0,54218282.0,38.501002
5,2020/06,939754250,246800814.0,13294590.0,118665388.0,33.807261
6,2020/07,1510952320,431962227.0,18393019.0,242303677.0,30.424695
7,2020/08,2057912496,672192068.0,23894263.0,423451059.0,33.581215
8,2020/09,2501220485,895139725.0,28123886.0,608329768.0,35.839325
9,2020/10,3117774957,1230014166.0,34288562.0,841949383.0,45.09015
10,2020/11,3578220063,1649742253.0,39948118.0,1065634528.0,30.383386
11,2020/12,4272677920,2295681390.0,51261895.0,1372127701.0,28.132187
12,2021/01,4840787909,2916265667.0,62907452.0,1615032008.0,29.034413
13,2021/02,4859544690,3052605495.0,67275291.0,1711133953.0,35.87004400000000
14,2021/03,5915398455,3755247451.0,82942587.0,2126494650.0,25.613963
15,2021/04,6260060025,4193896176.0,89824610.0,2400178997.0,22.082355
16,2021/05,6552051345,4693884201.0,97617855.0,2851207267.0,20.16651
