,appid,total_playtime,appname,lat,lon,country
0,220,181,Half-Life 2,34.1667451,132.2191641,JP
1,220,181,Half-Life 2,34.1667451,132.2191641,JP
2,220,181,Half-Life 2,34.1667451,132.2191641,JP
3,220,181,Half-Life 2,34.1667451,132.2191641,JP
4,220,181,Half-Life 2,34.1667451,132.2191641,JP
5,220,181,Half-Life 2,34.1667451,132.2191641,JP
6,220,181,Half-Life 2,34.1667451,132.2191641,JP
7,220,181,Half-Life 2,34.1667451,132.2191641,JP
8,220,181,Half-Life 2,34.1667451,132.2191641,JP
9,220,181,Half-Life 2,34.1667451,132.2191641,JP
10,220,181,Half-Life 2,34.1667451,132.2191641,JP
11,220,181,Half-Life 2,34.1667451,132.2191641,JP
12,220,181,Half-Life 2,34.1667451,132.2191641,JP
13,220,181,Half-Life 2,34.1667451,132.2191641,JP
14,220,181,Half-Life 2,34.1667451,132.2191641,JP
15,220,181,Half-Life 2,34.1667451,132.2191641,JP
16,220,181,Half-Life 2,34.1667451,132.2191641,JP
17,220,181,Half-Life 2,34.1667451,132.2191641,JP
18,220,181,Half-Life 2,34.1667451,132.2191641,JP
19,220,181,Half-Life 2,34.1667451,132.2191641,JP
20,220,181,Half-Life 2,34.1667451,132.2191641,JP
21,220,181,Half-Life 2,34.1667451,132.2191641,JP
22,220,181,Half-Life 2,34.1667451,132.2191641,JP
23,220,181,Half-Life 2,34.1667451,132.2191641,JP
24,220,181,Half-Life 2,34.1667451,132.2191641,JP
25,220,181,Half-Life 2,34.1667451,132.2191641,JP
26,220,181,Half-Life 2,34.1667451,132.2191641,JP
27,220,181,Half-Life 2,34.1667451,132.2191641,JP
28,220,181,Half-Life 2,34.1667451,132.2191641,JP
29,220,181,Half-Life 2,34.1667451,132.2191641,JP
30,220,181,Half-Life 2,34.1667451,132.2191641,JP
31,220,181,Half-Life 2,34.1667451,132.2191641,JP
32,220,181,Half-Life 2,34.1667451,132.2191641,JP
33,4000,5538,Garry's Mod,34.1667451,132.2191641,JP
34,4000,5538,Garry's Mod,34.1667451,132.2191641,JP
35,4000,5538,Garry's Mod,34.1667451,132.2191641,JP
36,4000,5538,Garry's Mod,34.1667451,132.2191641,JP
37,4000,5538,Garry's Mod,34.1667451,132.2191641,JP
38,4000,5538,Garry's Mod,34.1667451,132.2191641,JP
39,10180,32,Call of Duty: Modern Warfare 2,34.1667451,132.2191641,JP
40,10180,32,Call of Duty: Modern Warfare 2,34.1667451,132.2191641,JP
41,10180,32,Call of Duty: Modern Warfare 2,34.1667451,132.2191641,JP
42,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
43,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
44,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
45,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
46,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
47,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
48,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
49,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
50,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
51,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
52,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
53,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
54,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
55,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
56,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
57,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
58,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
59,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
60,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
61,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
62,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
63,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
64,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
65,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
66,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
67,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
68,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
69,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
70,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
71,550,5124,Left 4 Dead 2,34.1667451,132.2191641,JP
72,8190,79,Just Cause 2,34.1667451,132.2191641,JP
73,8190,79,Just Cause 2,34.1667451,132.2191641,JP
74,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
75,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
76,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
77,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
78,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
79,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
80,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
81,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
82,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
83,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
84,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
85,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
86,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
87,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
88,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
89,50130,1146,Mafia II (Classic),34.1667451,132.2191641,JP
