,steam_id_a,steam_id_b,lat_a,lon_a,country_a,lat_b,lon_b,country_b
300,7.65611979602734e+16,7.656119796037e+16,52.4750743,-1.829833,GB,50.503887,4.469936,BE
535,7.656119796028501e+16,7.656119796044874e+16,41.8781136,-87.6297982,US,41.8781136,-87.6297982,US
560,7.656119796034498e+16,7.656119796046712e+16,50.1109221,8.6821267,DE,51.3387609,6.5853417,DE
614,7.656119796045222e+16,7.656119796049286e+16,35.7595731,-79.01929969999999,US,64.963051,-19.020835,IS
615,7.656119796046131e+16,7.656119796049286e+16,39.9567548,-86.01335,US,64.963051,-19.020835,IS
663,7.656119796035509e+16,7.656119796048776e+16,52.6874845,13.5672765,DE,52.52000659999999,13.404954,DE
697,7.656119796041557e+16,7.65611979605104e+16,51.165691,10.451526,DE,45.8987972,16.8423093,HR
857,7.656119796048994e+16,7.656119796058107e+16,49.182863,-0.370679,FR,52.772571,-1.2052126,GB
858,7.656119796054854e+16,7.656119796058107e+16,45.764043,4.835659,FR,52.772571,-1.2052126,GB
1007,7.656119796047363e+16,7.656119796070563e+16,30.267153,-97.7430608,US,38.440429,-122.7140548,US
1036,7.656119796065686e+16,7.656119796073376e+16,53.7190281,-2.0727839,GB,50.8503463,4.3517211,BE
1071,7.656119796078318e+16,7.656119796078856e+16,39.0457549,-76.64127119999999,US,-33.4488897,-70.6692655,CL
1073,7.656119796041318e+16,7.656119796079571e+16,41.8781136,-87.6297982,US,40.4172871,-82.90712300000001,US
1074,7.656119796048414e+16,7.656119796079571e+16,35.6761919,139.6503106,JP,40.4172871,-82.90712300000001,US
1075,7.656119796077259e+16,7.656119796079571e+16,36.8507689,-76.28587259999999,US,40.4172871,-82.90712300000001,US
1077,7.656119796029155e+16,7.656119796077184e+16,50.92160089999999,9.255187099999999,DE,51.165691,10.451526,DE
1110,7.656119796046021e+16,7.656119796078432e+16,46.0878165,-64.7782313,CA,30.6696818,-81.46259189999999,US
1111,7.65611979607797e+16,7.656119796078432e+16,33.7879139,-117.8531007,US,30.6696818,-81.46259189999999,US
1121,7.656119796054293e+16,7.656119796077651e+16,45.5016889,-73.567256,CA,46.8138783,-71.2079809,CA
1175,7.656119796076525e+16,7.656119796081144e+16,50.937531,6.9602786,DE,51.165691,10.451526,DE
1187,7.656119796027362e+16,7.656119796084915e+16,-40.900557,174.885971,NZ,-37.8136276,144.9630576,AU
1266,7.656119796081144e+16,7.656119796091557e+16,51.165691,10.451526,DE,51.3670777,7.4632841,DE
1316,7.656119796064822e+16,7.656119796094717e+16,39.755543,-105.2210997,US,45.6306875,-72.956339,CA
1338,7.656119796051154e+16,7.656119796095771e+16,37.09024,-95.712891,US,31.9685988,-99.9018131,US
1469,7.656119796040918e+16,7.656119796109618e+16,51.253775,-85.323214,CA,27.6648274,-81.5157535,US
1470,7.65611979604456e+16,7.656119796109618e+16,-40.900557,174.885971,NZ,27.6648274,-81.5157535,US
1497,7.65611979602699e+16,7.656119796109843e+16,40.7127753,-74.0059728,US,33.7489954,-84.3879824,US
1518,7.656119796049934e+16,7.656119796114704e+16,52.681602,-1.831672,GB,52.2671353,-1.4675216,GB
1519,7.656119796071483e+16,7.656119796114704e+16,53.9915028,-1.5412015,GB,52.2671353,-1.4675216,GB
1552,7.656119796085624e+16,7.656119796114712e+16,51.253775,-85.323214,CA,49.81749199999999,15.472962,CZ
1582,7.65611979602734e+16,7.656119796120963e+16,52.4750743,-1.829833,GB,37.09024,-95.712891,US
1583,7.656119796075909e+16,7.656119796120963e+16,37.09024,-95.712891,US,37.09024,-95.712891,US
1709,7.656119796120946e+16,7.656119796130528e+16,46.227638,2.213749,FR,37.09024,-95.712891,US
1792,7.656119796037e+16,7.656119796135395e+16,50.503887,4.469936,BE,51.1464659,0.875019,GB
1816,7.65611979605148e+16,7.656119796138149e+16,60.12816100000001,18.643501,SE,42.732535,-84.5555347,US
1836,7.656119796068277e+16,7.656119796141803e+16,37.566535,126.9779692,KR,37.566535,126.9779692,KR
1848,7.656119796034547e+16,7.656119796146424e+16,51.165691,10.451526,DE,50.1109221,8.6821267,DE
